Benchmark,gcc
exe_time,0.000000
CYCLE_VAL,2
tracectr,17669
invokectr,17669
oramctr,0
dummyctr,0
pos1_access,3414
pos2_access,895
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,60.755337%
midctr,8.158574%
botctr,31.086090%
stashctr,-401
ringctr,21825
ring_evictctr,4365
shuffctr,12057
shuff_tc+,3943
shuffctr_dram,3943
shuffctr_nvm,0
nonmemops_sum,0
deadctr,242530
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,842571
dram_remote_r,66468
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,572659
dram_remote_w,207851
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,141383
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,240374
deadQs,11844
shuff[0],0
shuff[1],400
shuff[2],769
shuff[3],905
shuff[4],978
shuff[5],1002
shuff[6],1027
shuff[7],1028
shuff[8],1010
shuff[9],995
shuff[10],1119
shuff[11],1010
shuff[12],970
shuff[13],683
shuff[14],145
shuff[15],16
shuff[16],0
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],533
realcount[1],658
realcount[2],831
realcount[3],1106
realcount[4],1292
realcount[5],1519
realcount[6],1554
realcount[7],1600
realcount[8],1471
realcount[9],1338
realcount[10],1048
realcount[11],782
realcount[12],474
realcount[13],246
realcount[14],110
realcount[15],62
realcount[16],30
realcount[17],15
realcount[18],10
realcount[19],8
realcount[20],2
realcount[21],1
realcount[22],80
realcount[23],6545
dumcount[0],21292
dumcount[1],21167
dumcount[2],20994
dumcount[3],20719
dumcount[4],20533
dumcount[5],20306
dumcount[6],20271
dumcount[7],20225
dumcount[8],20354
dumcount[9],20487
dumcount[10],20777
dumcount[11],21043
dumcount[12],21351
dumcount[13],21579
dumcount[14],21715
dumcount[15],21763
dumcount[16],21795
dumcount[17],21810
dumcount[18],21815
dumcount[19],21817
dumcount[20],21823
dumcount[21],21824
dumcount[22],21745
dumcount[23],15280
s_dist[0],0
s_dist[1],2
s_dist[2],3
s_dist[3],6
s_dist[4],15
s_dist[5],2124
s_dist[6],50
s_dist[7],1743
allocS_dist[0],0
allocS_dist[1],3
allocS_dist[2],6
allocS_dist[3],16
allocS_dist[4],39
allocS_dist[5],116
allocS_dist[6],273
allocS_dist[7],64599
s_underctr,77818
s_overctr,130033
s_inctr,543271
inplacectr,572659
takenctr,77843
extendctr,130074
s_under[10],60
s_under[11],4
s_under[12],0
s_under[13],0
s_under[14],0
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],5
deadctr_arr[1],10
deadctr_arr[2],8
deadctr_arr[3],27
deadctr_arr[4],39
deadctr_arr[5],73
deadctr_arr[6],130
deadctr_arr[7],262
deadctr_arr[8],556
deadctr_arr[9],1046
deadctr_arr[10],2140
deadctr_arr[11],4389
deadctr_arr[12],8848
deadctr_arr[13],13324
deadctr_arr[14],18288
deadctr_arr[15],20270
deadctr_arr[16],21080
deadctr_arr[17],21469
deadctr_arr[18],21641
deadctr_arr[19],21722
deadctr_arr[20],21774
deadctr_arr[21],21801
