Experiment,qrw
deadctr_arr[6],158
deadctr_arr[7],275
deadctr_arr[8],554
deadctr_arr[9],1122
deadctr_arr[10],2176
deadctr_arr[11],4365
deadctr_arr[12],8685
deadctr_arr[13],17692
deadctr_arr[14],35185
deadctr_arr[15],70367
deadctr_arr[16],140262
deadctr_arr[17],280684
deadctr_arr[18],562215
deadctr_arr[19],1122315
deadctr_arr[20],2247605
deadctr_arr[21],4489659
deadctr_arr[22],8988337
deadctr_arr[23],17776190
deadQ_ov[10],0
deadQ_ov[11],0
deadQ_ov[12],0
deadQ_ov[13],0
deadQ_ov[14],0
deadQ_ov[15],0
deadQ_ov[16],0
deadQ_ov[17],0
deadQ_ov[18],0
deadQ_ov[19],0
deadQ_ov[20],0
deadQ_ov[21],0
deadQ_ov[22],0
deadQ_ov[23],9606277
deadQ_empty_s6[10],0
deadQ_empty_s6[11],0
deadQ_empty_s6[12],0
deadQ_empty_s6[13],0
deadQ_empty_s6[14],0
deadQ_empty_s6[15],0
deadQ_empty_s6[16],0
deadQ_empty_s6[17],0
deadQ_empty_s6[18],0
deadQ_empty_s6[19],0
deadQ_empty_s6[20],0
deadQ_empty_s6[21],0
deadQ_empty_s6[22],0
deadQ_empty_s6[23],119717
deadQ_empty_s7[10],0
deadQ_empty_s7[11],0
deadQ_empty_s7[12],0
deadQ_empty_s7[13],0
deadQ_empty_s7[14],0
deadQ_empty_s7[15],0
deadQ_empty_s7[16],0
deadQ_empty_s7[17],0
deadQ_empty_s7[18],0
deadQ_empty_s7[19],0
deadQ_empty_s7[20],0
deadQ_empty_s7[21],0
deadQ_empty_s7[22],0
deadQ_empty_s7[23],0
Q_serve_under[10],0
Q_serve_under[11],0
Q_serve_under[12],0
Q_serve_under[13],0
Q_serve_under[14],0
Q_serve_under[15],0
Q_serve_under[16],0
Q_serve_under[17],0
Q_serve_under[18],0
Q_serve_under[19],0
Q_serve_under[20],0
Q_serve_under[21],0
Q_serve_under[22],0
Q_serve_under[23],19065043
Q_serve_over[10],0
Q_serve_over[11],0
Q_serve_over[12],0
Q_serve_over[13],0
Q_serve_over[14],0
Q_serve_over[15],0
Q_serve_over[16],0
Q_serve_over[17],0
Q_serve_over[18],0
Q_serve_over[19],0
Q_serve_over[20],0
Q_serve_over[21],0
Q_serve_over[22],0
Q_serve_over[23],12092609
cap_Q_full[10],0
cap_Q_full[11],0
cap_Q_full[12],0
cap_Q_full[13],0
cap_Q_full[14],0
cap_Q_full[15],0
cap_Q_full[16],0
cap_Q_full[17],0
cap_Q_full[18],0
cap_Q_full[19],0
cap_Q_full[20],0
cap_Q_full[21],0
cap_Q_full[22],0
cap_Q_full[23],494744
cap_Q_notfull[10],0
cap_Q_notfull[11],0
cap_Q_notfull[12],0
cap_Q_notfull[13],0
cap_Q_notfull[14],0
cap_Q_notfull[15],0
cap_Q_notfull[16],0
cap_Q_notfull[17],0
cap_Q_notfull[18],0
cap_Q_notfull[19],0
cap_Q_notfull[20],0
cap_Q_notfull[21],0
cap_Q_notfull[22],0
cap_Q_notfull[23],43956445
dead_gathered[10],0
dead_gathered[11],0
dead_gathered[12],0
dead_gathered[13],0
dead_gathered[14],0
dead_gathered[15],0
dead_gathered[16],0
dead_gathered[17],0
dead_gathered[18],0
dead_gathered[19],0
dead_gathered[20],0
dead_gathered[21],0
dead_gathered[22],0
dead_gathered[23],31157675
ep_s[10][0],939489
ep_s[10][1],831375
ep_s[10][2],1010955
ep_s[10][3],1330348
ep_s[10][4],1546440
ep_s[10][5],1504573
ep_s[10][6],1241057
ep_s[11][0],940623
ep_s[11][1],833695
ep_s[11][2],1012591
ep_s[11][3],1331964
ep_s[11][4],1541496
ep_s[11][5],1503525
ep_s[11][6],1239681
ep_s[12][0],939712
ep_s[12][1],832499
ep_s[12][2],1012762
ep_s[12][3],1332487
ep_s[12][4],1544501
ep_s[12][5],1502450
ep_s[12][6],1238887
ep_s[13][0],938950
ep_s[13][1],834627
ep_s[13][2],1014456
ep_s[13][3],1331107
ep_s[13][4],1542362
ep_s[13][5],1500917
ep_s[13][6],1240686
ep_s[14][0],940032
ep_s[14][1],832491
ep_s[14][2],1015231
ep_s[14][3],1332662
ep_s[14][4],1541966
ep_s[14][5],1501164
ep_s[14][6],1239488
ep_s[15][0],943135
ep_s[15][1],836150
ep_s[15][2],1013799
ep_s[15][3],1332584
ep_s[15][4],1539380
ep_s[15][5],1500854
ep_s[15][6],1237115
ep_s[16][0],946354
ep_s[16][1],839897
ep_s[16][2],1017307
ep_s[16][3],1330724
ep_s[16][4],1539452
ep_s[16][5],1495556
ep_s[16][6],1233694
ep_s[17][0],953257
ep_s[17][1],846835
ep_s[17][2],1021963
ep_s[17][3],1331206
ep_s[17][4],1533620
ep_s[17][5],1488645
ep_s[17][6],1227466
ep_s[18][0],967935
ep_s[18][1],859552
ep_s[18][2],1029250
ep_s[18][3],1328206
ep_s[18][4],1528334
ep_s[18][5],1476489
ep_s[18][6],1213202
ep_s[19][0],998782
ep_s[19][1],885816
ep_s[19][2],1045464
ep_s[19][3],1329041
ep_s[19][4],1506480
ep_s[19][5],1449953
ep_s[19][6],1187431
ep_s[20][0],1058044
ep_s[20][1],944842
ep_s[20][2],1076517
ep_s[20][3],1323654
ep_s[20][4],1469028
ep_s[20][5],1397065
ep_s[20][6],1133827
ep_s[21][0],1177554
ep_s[21][1],1055929
ep_s[21][2],1140030
ep_s[21][3],1313342
ep_s[21][4],1395761
ep_s[21][5],1288910
ep_s[21][6],1031443
ep_s[22][0],1414402
ep_s[22][1],1279435
ep_s[22][2],1269310
ep_s[22][3],1294023
ep_s[22][4],1247980
ep_s[22][5],1076467
ep_s[22][6],821352
ep_s[23][0],2317822
ep_s[23][1],2012636
ep_s[23][2],1695116
ep_s[23][3],1348951
ep_s[23][4],995636
ep_s[23][5],22537
ep_s[23][6],10271
ep_shuf[0],160051818
ep_shuf[1],41509153
ep_shuf[2],110268
ep_shuf[3],17
ep_shuf[4],0
ep_shuf[5],0
ep_shuf[6],0
ep_shuf[7],0
ep_shuf[8],0
ep_shuf[9],0
ep_shuf[10],0
ep_shuf[11],0
ep_shuf[12],0
ep_shuf[13],0
ep_shuf[14],0
ep_shuf[15],0
ep_shuf[16],0
ep_shuf[17],0
ep_shuf[18],0
ep_shuf[19],0
ep_shuf[20],0
ep_shuf[21],0
