Benchmark,gcc
Experiment,40m
exe_time,3822.140625
CYCLE_VAL,263628135
tracectr,39999998
invokectr,39141856
oramctr,0
dummyctr,0
pos1_access,5079284
pos2_access,966117
Bk_Evict,0
Cache_Hit,90.995286%
Cache Evict,57.694232%
hitctr,909042
missctr,89957
earlyctr,0
topctr,71.166390%
midctr,19.654607%
botctr,9.179003%
stashctr,3
ringctr,43217383
ring_evictctr,8643468
shuffctr,43840741
shuff_tc+,27622221
shuffctr_dram,27622221
shuffctr_nvm,0
nonmemops_sum,230626492
deadctr,35944557
stash_hit,1969874
dram_norm_r,0
dram_norm_w,0
dram_total_acc,0
dram_inplace_r,1786390706
dram_remote_r,16343814
dram_inplace_w,1741479056
dram_remote_w,42090220
remote_drams,25746406
surplus_dead,16777216
surplus_in_use,0
rmiss,23275
wmiss,67234
nonmemops_executed,230377507
dead_dram,35942460
deadQs,997
shuff[0],0
shuff[1],779762
shuff[2],1511989
shuff[3],1803625
shuff[4],1936161
shuff[5],1999835
shuff[6],2030446
shuff[7],2046370
shuff[8],2053395
shuff[9],2056937
shuff[10],2060319
shuff[11],2060626
shuff[12],2061771
shuff[13],2059523
shuff[14],2059450
shuff[15],2056626
shuff[16],2052151
shuff[17],2044202
shuff[18],2025567
shuff[19],1989948
shuff[20],1919221
shuff[21],1775803
shuff[22],1490037
shuff[23],1966977
realcount[0],1548147
realcount[1],2092791
realcount[2],2601900
realcount[3],2956161
realcount[4],3147554
realcount[5],3507373
realcount[6],3716278
realcount[7],3530021
realcount[8],3030311
realcount[9],2504754
realcount[10],2120933
realcount[11],1936099
realcount[12],2023966
realcount[13],1578018
realcount[14],1026703
realcount[15],646828
realcount[16],419006
realcount[17],299437
realcount[18],218325
realcount[19],185299
realcount[20],160518
realcount[21],1457781
realcount[22],1030469
realcount[23],1478671
dumcount[0],41669196
dumcount[1],41124552
dumcount[2],40615443
dumcount[3],40261182
dumcount[4],40069789
dumcount[5],39709970
dumcount[6],39501065
dumcount[7],39687322
dumcount[8],40187032
dumcount[9],40712589
dumcount[10],41096410
dumcount[11],41281244
dumcount[12],41193377
dumcount[13],41639325
dumcount[14],42190640
dumcount[15],42570515
dumcount[16],42798337
dumcount[17],42917906
dumcount[18],42999018
dumcount[19],43032044
dumcount[20],43056825
dumcount[21],41759562
dumcount[22],42186874
dumcount[23],41738672
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],1473261
s_dist[6],0
s_dist[7],493716
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],10610445
s_underctr,20869330
s_overctr,21220890
s_inctr,1645427063
inplacectr,1741479056
takenctr,20869330
extendctr,21220890
s_under[23],0
deadctr_arr[0],3
deadctr_arr[1],6
deadctr_arr[2],11
deadctr_arr[3],20
deadctr_arr[4],36
deadctr_arr[5],66
deadctr_arr[6],106
deadctr_arr[7],253
deadctr_arr[8],557
deadctr_arr[9],1039
deadctr_arr[10],2188
deadctr_arr[11],4450
deadctr_arr[12],8626
deadctr_arr[13],17529
deadctr_arr[14],34777
deadctr_arr[15],70104
deadctr_arr[16],140478
deadctr_arr[17],281012
deadctr_arr[18],561997
deadctr_arr[19],1122488
deadctr_arr[20],2246835
deadctr_arr[21],4492527
deadctr_arr[22],8984843
deadctr_arr[23],17974606
ep_s[10][0],966589
ep_s[10][1],857831
ep_s[10][2],1040851
ep_s[10][3],1368964
ep_s[10][4],1590090
ep_s[10][5],1545452
ep_s[10][6],1275013
ep_s[11][0],966102
ep_s[11][1],856640
ep_s[11][2],1042478
ep_s[11][3],1368312
ep_s[11][4],1588669
ep_s[11][5],1548470
ep_s[11][6],1273425
ep_s[12][0],967121
ep_s[12][1],857151
ep_s[12][2],1043300
ep_s[12][3],1368427
ep_s[12][4],1588380
ep_s[12][5],1544876
ep_s[12][6],1274506
ep_s[13][0],965848
ep_s[13][1],857629
ep_s[13][2],1042111
ep_s[13][3],1369448
ep_s[13][4],1586860
ep_s[13][5],1546086
ep_s[13][6],1275666
ep_s[14][0],967932
ep_s[14][1],858895
ep_s[14][2],1042019
ep_s[14][3],1369876
ep_s[14][4],1586082
ep_s[14][5],1543457
ep_s[14][6],1275299
ep_s[15][0],969437
ep_s[15][1],859970
ep_s[15][2],1043149
ep_s[15][3],1368811
ep_s[15][4],1586251
ep_s[15][5],1542375
ep_s[15][6],1273496
ep_s[16][0],972313
ep_s[16][1],863088
ep_s[16][2],1046190
ep_s[16][3],1370467
ep_s[16][4],1582775
ep_s[16][5],1538243
ep_s[16][6],1270421
ep_s[17][0],980860
ep_s[17][1],871319
ep_s[17][2],1049552
ep_s[17][3],1369054
ep_s[17][4],1577075
ep_s[17][5],1532712
ep_s[17][6],1262898
ep_s[18][0],995335
ep_s[18][1],884166
ep_s[18][2],1057283
ep_s[18][3],1367270
ep_s[18][4],1570583
