Benchmark,x264
cap_Q_full[16],0
cap_Q_full[17],0
cap_Q_full[18],0
cap_Q_full[19],0
cap_Q_full[20],0
cap_Q_full[21],0
cap_Q_full[22],0
cap_Q_full[23],0
cap_Q_notfull[15],0
cap_Q_notfull[16],0
cap_Q_notfull[17],0
cap_Q_notfull[18],0
cap_Q_notfull[19],0
cap_Q_notfull[20],0
cap_Q_notfull[21],0
cap_Q_notfull[22],0
cap_Q_notfull[23],0
dead_gathered[15],252851
dead_gathered[16],178549
dead_gathered[17],119470
dead_gathered[18],99452
dead_gathered[19],93682
dead_gathered[20],91610
dead_gathered[21],90593
dead_gathered[22],90106
dead_gathered[23],89893
stash_hit,12757
dead_encountered[15],196044
dead_encountered[16],243519
dead_encountered[17],245875
dead_encountered[18],236693
dead_encountered[19],230053
dead_encountered[20],226135
dead_encountered[21],223927
dead_encountered[22],222827
dead_encountered[23],222310
dead_shadowed[15],0
dead_shadowed[16],0
dead_shadowed[17],0
dead_shadowed[18],0
dead_shadowed[19],0
dead_shadowed[20],0
dead_shadowed[21],0
dead_shadowed[22],0
dead_shadowed[23],0
dead_scan[15],376
dead_scan[16],0
dead_scan[17],0
dead_scan[18],0
dead_scan[19],0
dead_scan[20],0
dead_scan[21],0
dead_scan[22],0
dead_scan[23],0
shad_added[15],0
shad_added[16],0
shad_added[17],0
shad_added[18],0
shad_added[19],0
shad_added[20],0
shad_added[21],0
shad_added[22],0
shad_added[23],0
same_bucket,0
remote_under,186712
remote_over,757444
