Benchmark,gcc
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,20
rmpki,0.115571
wmpki,0.304830
supshuf_total,2297363
supshuf_horiz1,4336118
supshuf_horiz2,3483610
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],756401
shuff[2],1468558
shuff[3],1752633
shuff[4],1880231
shuff[5],1942795
shuff[6],1972930
shuff[7],1989662
shuff[8],1997535
shuff[9],1999931
shuff[10],4969302
shuff[11],4971815
shuff[12],4973880
shuff[13],4978369
shuff[14],4982288
shuff[15],4994740
shuff[16],5021102
shuff[17],5070259
shuff[18],5163808
shuff[19],5253318
shuff[20],5144830
shuff[21],4639536
shuff[22],3781635
shuff[23],2321837
realcount[0],1513681
realcount[1],2031406
realcount[2],2534183
realcount[3],2883839
realcount[4],3067903
realcount[5],3410878
realcount[6],3596944
realcount[7],3430829
realcount[8],2965370
realcount[9],2463169
realcount[10],2093565
realcount[11],1901812
realcount[12],1976660
realcount[13],1533707
realcount[14],985239
realcount[15],621695
realcount[16],401775
realcount[17],285607
realcount[18],208834
realcount[19],171441
realcount[20],151094
realcount[21],1366709
realcount[22],970028
realcount[23],1447346
dumcount[0],40500033
dumcount[1],39982308
dumcount[2],39479531
dumcount[3],39129875
dumcount[4],38945811
dumcount[5],38602836
dumcount[6],38416770
dumcount[7],38582885
dumcount[8],39048344
dumcount[9],39550545
dumcount[10],39920149
dumcount[11],40111902
dumcount[12],40037054
dumcount[13],40480007
dumcount[14],41028475
dumcount[15],41392019
dumcount[16],41611939
dumcount[17],41728107
dumcount[18],41804880
dumcount[19],41842273
dumcount[20],41862620
dumcount[21],40647005
dumcount[22],41043686
dumcount[23],40566368
supcount_dist[0],595178
supcount_dist[1],0
supcount_dist[2],462328
supcount_dist[3],0
supcount_dist[4],358280
supcount_dist[5],0
supcount_dist[6],257360
supcount_dist[7],0
supcount_dist[8],175067
supcount_dist[9],0
supcount_dist[10],1105469
supcount_dist[11],0
supcount_dist[12],649906
supcount_dist[13],0
supcount_dist[14],941285
supcount_dist[15],0
supcount_dist[16],850084
supcount_dist[17],0
supcount_dist[18],708515
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],500493
suphoriz1_dist[1],470506
suphoriz1_dist[2],448982
suphoriz1_dist[3],433803
suphoriz1_dist[4],420253
suphoriz1_dist[5],468389
suphoriz1_dist[6],515674
suphoriz1_dist[7],523535
suphoriz1_dist[8],0
suphoriz2_dist[0],366094
suphoriz2_dist[1],313525
suphoriz2_dist[2],258386
suphoriz2_dist[3],209398
suphoriz2_dist[4],165035
suphoriz2_dist[5],255050
suphoriz2_dist[6],360775
suphoriz2_dist[7],393574
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],6653924
s_dist[5],58526823
s_dist[6],169867
s_dist[7],916105
